product_id,body
ap001,'{"product_id":"ap001","list_prices":[{"currency":"USD","price":999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1099.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":949.0,"region":"global"}]}'
ap002,'{"product_id":"ap002","list_prices":[{"currency":"USD","price":1999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":2199.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1899.0,"region":"global"}]}'
ap003,'{"product_id":"ap003","list_prices":[{"currency":"USD","price":249.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":279.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":229.0,"region":"global"}]}'
sm001,'{"product_id":"sm001","list_prices":[{"currency":"USD","price":1199.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1299.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1099.0,"region":"global"}]}'
sm002,'{"product_id":"sm002","list_prices":[{"currency":"USD","price":1599.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1699.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1499.0,"region":"global"}]}'
sm003,'{"product_id":"sm003","list_prices":[{"currency":"USD","price":229.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":249.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":199.0,"region":"global"}]}'
ap004,'{"product_id":"ap004","list_prices":[{"currency":"USD","price":1099.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1199.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":999.0,"region":"global"}]}'
sm004,'{"product_id":"sm004","list_prices":[{"currency":"USD","price":1199.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1299.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1099.0,"region":"global"}]}'
ap005,'{"product_id":"ap005","list_prices":[{"currency":"USD","price":429.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":449.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":399.0,"region":"global"}]}'
sm005,'{"product_id":"sm005","list_prices":[{"currency":"USD","price":399.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":429.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":369.0,"region":"global"}]}'
ap006,'{"product_id":"ap006","list_prices":[{"currency":"USD","price":1499.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1599.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1399.0,"region":"global"}]}'
sm006,'{"product_id":"sm006","list_prices":[{"currency":"USD","price":1799.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1899.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1699.0,"region":"global"}]}'
ap007,'{"product_id":"ap007","list_prices":[{"currency":"USD","price":1999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":2199.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1899.0,"region":"global"}]}'
sm007,'{"product_id":"sm007","list_prices":[{"currency":"USD","price":999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1099.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":899.0,"region":"global"}]}'
so001,'{"product_id":"so001","list_prices":[{"currency":"USD","price":499.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":549.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":449.0,"region":"global"}]}'
so002,'{"product_id":"so002","list_prices":[{"currency":"USD","price":399.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":449.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":349.0,"region":"global"}]}'
so003,'{"product_id":"so003","list_prices":[{"currency":"USD","price":2499.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":2599.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":2299.0,"region":"global"}]}'
so004,'{"product_id":"so004","list_prices":[{"currency":"USD","price":1399.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1499.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1299.0,"region":"global"}]}'
xm001,'{"product_id":"xm001","list_prices":[{"currency":"USD","price":999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1099.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":899.0,"region":"global"}]}'
xm002,'{"product_id":"xm002","list_prices":[{"currency":"USD","price":399.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":449.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":349.0,"region":"global"}]}'
xm003,'{"product_id":"xm003","list_prices":[{"currency":"USD","price":449.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":499.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":399.0,"region":"global"}]}'
xm004,'{"product_id":"xm004","list_prices":[{"currency":"USD","price":299.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":349.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":269.0,"region":"global"}]}'
cn001,'{"product_id":"cn001","list_prices":[{"currency":"USD","price":3899.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":3999.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":3699.0,"region":"global"}]}'
cn002,'{"product_id":"cn002","list_prices":[{"currency":"USD","price":1499.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1599.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":1399.0,"region":"global"}]}'
cn003,'{"product_id":"cn003","list_prices":[{"currency":"USD","price":799.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":849.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":749.0,"region":"global"}]}'
cn004,'{"product_id":"cn004","list_prices":[{"currency":"USD","price":999.0,"region":"global"}],"msrp_prices":[{"currency":"USD","price":1099.0,"region":"global"}],"sale_prices":[{"currency":"USD","price":899.0,"region":"global"}]}'
